,Usuario,Tweet
65,Dovakhin87,@CarlosMaslaton Quien iba a pensar que Larreta tenía sobres más grandes que Massa
66,Star28Little,"RT @Ing_SAS: @horaciorlarreta #Hora2023 La mafia peronista no quiere un gobierno de Milei, ni de Patricia Bullrich, ni de Mauricio Macri.…"
67,VejigaNatatoria,"RT @CarlosMaslaton: Ante preguntas de numeros foristas. Sí, hablé con ella, la novia de Sombrilla Larreta. Milagros Maylin, infernal su con…"
68,juanchirc,"RT @therealbuni: Larreta: con este video me van a amar 🤓Tiktok: nueva tendencia, escapar del pelado https://t.co/oBvsc3egwx"
69,guacho517837881,Yo creo que el Kirchnerismo quiere negociar con Larreta. Por eso es muy importante meter al Javo como segunda fuerz… https://t.co/g3JlHfAsWy
70,VeroR_Akd,"RT @Editor_76: Se están por cumplir cuatro años de la desaparición del policía de la Ciudad de Buenos Aires, Arshak Karhanya. Su familia lo…"
71,MauriciodePicc1,"@GiarFran07 @Tanodeflorida @Fran_Casaretto_ QUE SE VAYAN MAURICIO, CRISTINA, MILEI Y LARRETA A LA MISMA MIERDA. QUE… https://t.co/BTbekT5nFz"
72,ContadorLoCane,"RT @ElCenti: Coincido 100%. Siempre repito que aun en democracia, hay diálogos que no tienen sentido. Larreta fundamenta su gobierno en dos…"
73,rsknico,"RT @jdoedoe101101: Massa, Larreta, es todo lo mismo. Lo entienden o todavía no?"
74,Kamui_DoUrden,"RT @Subdesarrollo09: @3Cebolla Pero que diálogo? En 2021 Larreta hizo una lista """"""liberal"""""" y no cambió nada, nunca se bajó un impuesto h…"
75,Maria05362846,"RT @abrilcba_: Fernández en La Antártida, Cristina en Calafate, Larreta en Santa Cruz. Que lejos están algunos políticos de la realidad y d…"
76,MismaYoMismaYo,RT @TodoNegativoCom: Así están los barrios porteños mientras Larreta lanza su candidatura. Que lo sepa todo el país porque este impresentab…
77,ferlap2000,RT @MonicaD_2016: @horaciorlarreta Larreta ya sabemos quienes y para que generan la grieta y lo que hicieron cuando gobernaron!!Inútiles d…
78,jcreiszer,RT @osvwal: LARRETA DONDE ESTÁ ARSHAK.? https://t.co/zeKehcQiZz
