,Usuario,Tweet
63,Monofinger_ok,RT @TodaLaPrimeraA: 🇦🇷 El Kun Agüero se sumó a la concentración argentina y se quedará allí de cara a la final con Francia. Volverá a compa…
64,LfriiMedia,"Josko Gvardiol : malgré ce que lui a fait Messi, tous les grands clubs veulent s’arracher le phénomène croate… https://t.co/GZ5GRnRPMv"
65,suzaul_shimu,"@FrankKhalidUK Pele, Meradona, Zidane, Messi, Ronaldo-CR7"
66,BaiocchiLucho,"RT @ArletteMontilla: Bueno, me cansé de leer críticas a Sofía Martinez, la periodista que al final de una entrevista a Messi le habló de có…"
67,me_sks,RT @BarcaWorldwide: Stats in this World Cup-⚽ Most goals: Messi🎯 Most assists: Messi🔥 Most shots: Messi⚡ Most chances created: Messi h…
68,AgussDiaaz98,RT @agustinfer_11: Di María también se merece un mural como el de Messi en Rosario
69,bettybelotta,"RT @CesarFerri: Por favor! RT para ubicar a este niño, queremos regalarle la camiseta original de Leo Messi.Tal vez lleguemos por el autor…"
70,benevans200721,RT @amitttrmfc: If football was fair 2008: Ronaldo 2009: Messi 2010:  Sneijder2011: Messi 2012: Ronaldo 2013: Ronaldo 2014: Ronaldo…
71,DpEsho,"RT @ntusiST: I don't want people to say I was taking chances, I'm telling yall early that the final will be between #France and #Argentina,…"
72,gurubajan,Messi the greatest footballer in the world so state 90% of the football world but he is so great that referees and… https://t.co/wNkGGLNtDU
73,Ayew20586745,RT @Ayew20586745: Messi will cry again on Sunday.
74,IratusTemplar,RT @budfootball: ⚠️ 𝘿𝙖𝙣𝙜𝙚𝙧𝙤𝙪𝙨 𝙙𝙪𝙤𝙨 ⚠️🇦🇷 Lionel Messi - 35 year-old on 5⚽️🇦🇷 Julian Alvarez - 22 year-old on 4⚽️🇫🇷 Kylian Mbappe - 23 y…
75,iamDatdudee,"RT @brfootball: Fast-forward to 2022, buildings are dotted with sky blue-and-white flags and there are murals celebrating Lionel Messi and…"
76,Leozin2K03,"pô essa copa vai ser a última de muita lenda. Neuer, Messi, Busquets, Lewa, Modric, Di Maria, Ronaldo, Alba, Müller… https://t.co/uXgackcKEL"
77,LayeSeckSeckFCB,"RT @_BeFootball: Depuis son départ du Barca, Leo Messi continue d’être en contact régulier avec Ousmane Dembélé.L’Argentin a suivi de trè…"
78,parieurfouu2,"Pour ceux qui ont 5min à tuer, créez-vous un compte betclic avec mon code de parrainage qui nous rapportera 30€ de… https://t.co/7yOvNEYsnB"
79,elwillwillin,RT @elexdetuvieja: MESSI es papa noel https://t.co/xhSkWK4RI2
80,Just_F0r_Funs,RT @TonyAsmith77: Woww.. Have you ever tried this Remote control anal plug vibrator  😱😱i can literally feel it go in and out......😳😳 Can'…
81,Yohanarejouane,@AllanDr_ Messi est le GOAT mais toi tu n’est pas objectif. L’arbitrage est clairement en faveur de l’argentine. Ma… https://t.co/N5lzNtWllH
82,DemeAdams19,RT @moustaeche97: « On va les tuer aujourd’hui les argentins là Messi ou pas Messi on s’en bat les couilles » mdrrrrrr c’est ma vidéo du mo…
83,dans_jesse,RT @amitttrmfc: Most Ballon d’Ors robbed by Messi
84,_LuisFl,"Yo quisiera que Argentina gane el mundial para que la gente recuerde a Messi y este equipo,  así ya dejan de idolat… https://t.co/MRNlKQCXSc"
85,Consudiabetes,@samuelpanama_ Madridistas o no la gente decente va con Francia. La actitud antideportiva de Messi y su equipo de m… https://t.co/54PfxXEccK
86,JardimGel,RT @alertatotal: *Messi mandando a Globo vazar*??? A fase não anda fácil... Será que o hermano é bolsonarista? https://t.co/9I2SA2oFpV
87,Just_F0r_Funs,RT @TonyAsmith77: Woww.. Have you ever tried this Remote control anal plug vibrator  😱😱i can literally feel it go in and out......😳😳 Can'…
88,enn_hypen,@Cendol1jo @Gabrielgift237 @ESPNFC Bruh y’all say this only bc of messi u dick riding atp. Both want it. For me Fra… https://t.co/Eqbb6HOVWj
89,BenHakker_,"@Van_Bast3n Si Messi te fè mondyal Grizzou a, yo t ap kritike l anpil 😂"
90,leynellll,RT @MessiQuote: .@FOXSoccer: “Lionel Messi's 2022 FIFA World Cup run is even more impressive when you compare it to the overall numbers of…
91,vuma_trends,Happening Today at Talent Academy EmbuAGRI-TECH Expo hosting upto 50 exhibitors-Come Learn more on Farming and Tec… https://t.co/DofKXuYK9i
92,CurroRodriguez4,RT @ManuHeredia21: Espectacular: Adidas confirmó que se han agotado las existencias de la camiseta argentina de Messi en todo el planeta. L…
93,AzizAnumd3,RT @OmarGamal180: @ESPNFC Messi and Mbabé by drawing through artificial intelligence😂❤️ https://t.co/GzX89pDFSd
