long,lat,id,tipo,calle_auto,altura,km,velocidad,direccion_,calle_norm,intersec_1,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.48073828,-34.64190012,159,CINEMOMETRO FIJO MULTICARRIL,Av. Directorio (descendente),4085,,60,DIRECTORIO AV. 4085,DIRECTORIO AV.,FERNANDEZ,Parque Avellaneda,9,1407,C1407HGA
-58.48677365,-34.55789926,160,CINEMOMETRO FIJO MULTICARRIL,Donado,3660,,60,DONADO 3660,DONADO,CHAJARÍ,Saavedra,12,1430,C1430DSV
-58.49710719,-34.55436822,161,CINEMOMETRO FIJO MULTICARRIL,Av. Dr. Ricardo Balbin,4640,,60,"BALBIN, RICARDO, DR. AV. 4640","BALBIN, RICARDO, DR. AV.",ARIAS,Saavedra,12,1430,C1430ABR
-58.37983,-34.62281,162,CINEMOMETRO FIJO,Au. 25 de Mayo (C 3 descendente),0,"Km. 8,4",80,,,,CONSTITUCION,1,,
-58.37984,-34.62274,163,CINEMOMETRO FIJO,Au. 25 de Mayo (C 2 descendente),0,"Km. 8,4",80,,,,CONSTITUCION,1,,
-58.37971,-34.62286,164,CINEMOMETRO FIJO,Au. 25 de Mayo (C 3 Ascendente),0,"Km. 8,4",80,,,,CONSTITUCION,1,,
-58.37972,-34.62294,165,CINEMOMETRO FIJO,Au. 25 de Mayo (C 2 Ascendente),0,"Km. 8,4",80,,,,CONSTITUCION,1,,
-58.37666,-34.64005,166,CINEMOMETRO FIJO MULTICARRIL,Au. Arturo Frondizi (descendente),0,"Km 1,3",100,,,,BARRACAS,4,,
-58.52477,-34.63625,167,CINEMOMETRO FIJO,Au. Perito Moreno (sentido centro),0,"Km 0,5",60/100,,,,LINIERS,9,,
-58.4866,-34.64515,168,CINEMOMETRO FIJO,Au. P. Moreno (a prov.  C4),0,"Km 4,5",100,,,,PARQUE AVELLANEDA,9,,
-58.4865,-34.64516,169,CINEMOMETRO FIJO,Au. P. Moreno (a prov. C3),0,"Km 4,5",100,,,,PARQUE AVELLANEDA,9,,
-58.48909,-34.64378,170,CINEMOMETRO FIJO MULTICARRIL,Au. P. Moreno (carriles 1 y 2) Centro,0,"Km 4,3",60,,,,PARQUE AVELLANEDA,9,,
