,Usuario,Tweet
76,Famonita,RT @tanomdq86: La policía de Larreta #TodosConCristinaMasQueNunca https://t.co/bs8oPEl3IX
77,MartiCDiaz15,"RT @gabytariana: @mariuvidal Todos los trolls de JxC salen a tuitear al unísono echándole la culpa a Cristina, como siempre. No mamu, Larre…"
78,clau4037,RT @fllorenteantoni: Cuando se quemaban barbijos y se marchaba con guillotinas y se colocaban bolsas mortuorias los medios lo cubrían y apl…
79,EmiGomez1994,"RT @PregoneroL: Si Larreta mata un kirchnerista, pierde o gana votos?"
80,CaroolViviana,"No fue matanza, no fue merlo  @horaciorlarreta fue Recoleta @Gregoriodalbon es amor del  pueblo @CFKArgentina yo pa… https://t.co/UdfbPSKhRu"
81,santa_c1,"RT @Ojo_Kritico: Increíble como Larreta permite a esos orangutanes gritando y meando en la calle hace 48hs. A ellos les deja hacer todo, pa…"
82,maria710093,"RT @MoreauLeopoldo: Macri, Rodriguez Larreta, Vidal, Felipe Miguel, Patricia Bullrich hoy movilizaron a su "" Gestapo"". Esto es lo que le es…"
83,Gus_videla,@Lupo55 Y si… es muy tibio Larreta…
84,DnAkd2947,"Tolosa Paz liquidó a Larreta: ""Me hace acordar de las peores épocas de la dictadura"" https://t.co/lQNUiaAXfh"
85,_danyJkings,RT @feramato: Quién asesoró a Larreta que esta imagen de derrota y soledad iba a ser buena para transmitir un mensaje? #polEmico https://t.…
86,Galy72572086,RT @gracieladelsur: Larreta golpeando el atril me hizo acordar a De La Rúa golpeando el escritorio de Grondona para mostrar que tenía poder…
87,DanielSanzBBca,"RT @GuidoCattaneo: En definitiva, felicitaciones a Larreta, le salió muy bien lo de las vallas. A mimir. 🫶🏼"
88,bibianalaco,"RT @cybernodo: Es por esto q considero q herramientas de reconocimiento facial masivo, en manos d gobiernos autoritarios cómo los q represe…"
89,AnitaKich,"RT @74carlosnob: Mí solaridad con los heridos en la represión de hoy por Larreta a los trabajadores, jubilados y estudiantes en la marcha e…"
90,panunga,Larreta es un tipo peligroso! ! ! ; https://t.co/4DwHHnXESN
91,matarelatok,"RT @ElCara333: @VivianaaFerrari Ojo Vivi que si Larreta manda cargarlos bien a palos , ellos mandan a otro que lo mate en la revuelta y le…"
92,naizpurua04,RT @FBuenAbad: PLAN CÓNDOR JUDICIAL Y MEDIÁTICO. Guardar silencio es ser cómplice. SOLIDARIDAD CON EL PUEBLO ARGENTINO REPRIMIDO A ESTAS HO…
93,clau4037,RT @tanomdq86: El periodista Guazora herido por la policía de Larreta https://t.co/TfqHfMwFQ6
94,CrespiMajo,Le estamos diciendo andate a #CFK#Larreta #Manes#AlbertoFernández
95,NormaDeConducta,RT @NacI_Io: Y así es como termino la carrera por la presidencia de Rodríguez Larreta. La incapacidad de garantizar el orden en la Ciudad d…
96,fernacorral,"RT @hugohlamadrid: Mientras tanto por redes, siguiendo lo que sucedía con la policía de Larreta reprimiendo a una señora en una clara posic…"
97,gracielap2018,RT @adriancarp2017: #TodosARecoleta #TodosConElIa Los hdrmp de larreta. https://t.co/zxGk97Hz4z
98,Mirasolsol4,"RT @Lu40458185: Esto me lo acaba de pasar una compañera, la prueba de que querían desestabilizar una manifestación pacífica, están las prue…"
99,lagallinita5,"RT @MaraLeo43213312: Larreta tardó demasiado en actuar, lo mismo que  la vieja hipócrita q arrugó hoy , desp d 6 dias atormentando a los ve…"
100,Zulema18547173,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
101,Yeniguecor,"RT @gemnacpop: Compañero @FernandezAnibal  que pasa? Queremos q Nacion actue para calmar a Larreta y deje d filmar, pedir Dni y vallar"
102,Noee621472062,RT @RPN_Oficial: Larroque y Penacca denunciaron que la policía macrista de Larreta no permite la entrada a dirigentes del FDT  https://t.co…
103,mcortesvela,"RT @norberto_pagano: Pero que idea luminosa la de las vallas Larreta.Que sigue, vas a levantar los puentes??? 😂😂😂#SacaLasVallasLarreta #D…"
