,Usuario,Tweet
70,Artemisfow,"RT @la_campora: Es urgente frenar el hostigamiento del poder político y judicial de la provincia hacia Milagro Sala.

Por @pietragallahora…"
71,VivianaDepaoli,RT @morenoartu: Hay una compañera presa por el odio de clases que generó siempre el antiperonismo. Nuestra compañera cayó en cana durante e…
72,GonzaCurello,"RT @juan_tuzzi: Diganme que es mentira que el inútil de @alferdez se fue a ver a Milagro Sala. SE TE EXPLOTA EL PAÍS, capo."
73,zulmifarina,"RT @marioraulnegri: Alberto suspendió su agenda para ir a visitar a Jujuy a Milagro Sala, una condenada por corrupción. Los gobernadores de…"
74,Herkorin,"RT @Winston_Dunhill: - Que pasó Orteguita, te lesionaron en un partido de veteranos?
- Soy Milagro Sala, pelotudo. https://t.co/Hp156uQi12"
75,victorincoco,RT @pocaspulgasyo: Le pide a Milagro Sala q no haga barullo. Q puede hacer desde una cama internada y presa?
76,CristinaLust,RT @SDHArgentina: La Secretaría de Derechos Humanos de la Nación advierte con preocupación sobre la tergiversación y la información falsa u…
77,chivacharly,"RT @juancristonomo: Milagro Sala está sana. Es todo una farsa. De eso vive el kirchnerismo, de eso vivimos todos en esta sociedad de pusilá…"
78,raynerespinoza2,"RT @peponila: Las víctimas de Milagro Sala esperaron en el acceso al Sanatorio a Alberto Fernández, con una bandera y pidiendo ser recibida…"
79,Susana37617522,"RT @gustavobj64: La Argentina en llamas, quebrada, sin dólares y en la pobreza extrema. Alberto se escapa a Jujuy para ver a Milagro Sala.…"
80,gratner,"RT @Guadi_Pelosista: Mauricio Macri se ve con Mario Vargas Llosa, Alberto Fernandez con Milagro Sala. No somos lo mismo."
81,Pquemera_u,"RT @marioraulnegri: Milagro Sala no es una perseguida política, de hecho ha sido favorecida por la prisión domiciliaria. 
Tiene 4 condenas,…"
82,TatoSelva,"RT @MartnPeiretti1: 🔴❎⚠Gerardo Morales reconoció en una carta pública que quién encarceló a Milagro Sala fue él,por eso fue quien eligió a…"
83,BorgenRita,"#LibertadAMilagroSala 
Milagro en voz propia, toda su historia.
Imperdible. Nota del 30/5👇

Milagro Sala con Zaffar… https://t.co/BVFl0Iwyra"
84,2n30552,RT @Ojo_Kritico: Gerardo Morales llorando como un imbécil porque su amigo Alberto fue a ver Milagro Sala. ¿Cómo le vas a creer al PJ? Este…
85,taxiloco54,RT @javierlanari: Milagro Sala cobró $ 16.000 millones para construir 2.000 viviendas que nunca entregó. Montó un Estado paralelo en Jujuy.…
86,clasev07,"RT @Winston_Dunhill: - Que pasó Orteguita, te lesionaron en un partido de veteranos?
- Soy Milagro Sala, pelotudo. https://t.co/Hp156uQi12"
87,LaMaga75350486,"RT @arielviano: 60% pobres 
5.000.000 de indigentes 
7 de cada 10 chicos NO comen todos los días.
El dólar $239 
NO hay Gasoil 

Pero para…"
88,MonySan16287442,"RT @patoplanet: Se recibió el primer ingeniero espacial en argentina, 24 años tiene  el chico, pero Alberto recibe a L gante y visita a mil…"
89,goudgino,RT @MontenegroViki: Lo único que haces con tu carta @GerardoMorales es confirmar que Milagro Sala está presa por definición política tuya.…
90,KryztyanLo,RT @MontenegroViki: Lo único que haces con tu carta @GerardoMorales es confirmar que Milagro Sala está presa por definición política tuya.…
