,Usuario,Tweet
56,kevincoments,"RT @eixopolitico: 🇧🇷 | 🇫🇮 BOLETIM DE URNA: HELSINQUE, FINLÂNDIALula: 390Bolsonaro: 127Ciro: 51Tebet: 38📸 @jodmoreira https://t.co/Ia…"
57,giada_giada1,RT @PapoAbertoKA: @AnaCristinaSbr1 @kimpaim Já perdeu. Nova Zelândia:Lula 329 e Bolso 71Austrália:Lula 575 e Bolso 375Singapura:Lula 182…
58,ericamagni,"RT @paoladeorte: Lula ganhou entre os palestinos brasileiros.O ex-presidente levou 592 dos 716 votos em Ramala, nos territórios palestino…"
59,papalopulus10,RT @Dante27455639: 🇧🇷 Jair Bolsonaro fue de los pocos presidentes que ordenó prohibir la “ideología de género” en los colegios. https://t.c…
60,FlavioM24427894,RT @UenakaHarley: Já estamos indo reeleger o Presidente Jair Messias Bolsonaro aqui no Japão certeza 1º turno. https://t.co/DqzLsEC2uA
61,igor_gomes97,RT @kimpaim: Bolsonaro VENCE no JAPÃO !  !  !  
62,Mell_c,"RT @sccpnet_: Em certo momento a torcida do Corinthians começou a gritar: ""ei, Bolsonaro. Vai tomar no...""https://t.co/hmH9rsatHe"
63,JorgeLRuiDias,RT @Estadao: #Eleições2022 | Padre Kelmon pede voto em Bolsonaro e fala em fake news ao ter sacerdócio questionado; veja no Feed Estadão (V…
64,LaPenseeRevue,"Jour de vote décisif au #Brésil Retour sur l’analyse de la première réélection de #Lula, en espérant la défaite de… https://t.co/YBTzcIB2JQ"
65,ballerinaX,RT @Vinncent: Voting started in Brazil. I am biased but this is one of the most important elections to happen in the Western Hemisphere in…
66,japnc,Estou votando @GuajajaraSonia e @ChirleyPankara acho q por tudo q a população indígena sofreu em 4 anos de Bolsonar… https://t.co/N4OHhOwvt4
67,mundoennoticias,RT @HoyPalestina: Palestina: Lula: 592Bolsonaro: 52Israel: Bolsonaro: 258Lula: 234.
68,Izaquefelix2,RT @Fiuzafirmao2: Quem acredita na vitória do Bolsonaro no primeiro turno ? Eu acredito e você ?Vamos subir #BolsonaroNoPrimeiroTurno22
69,descargatomica,"RT @AgrenSilvia: Missão cumprida,Tokyo é Bolsonaro 22❤️🇧🇷❤️👮 https://t.co/g067lDGWN7"
70,danielsson1975,RT @Cazatalentos: Por mantener la hostelería brasileña abierta durante la pandemia:  Sanitarios de Brasil denuncian ante La Haya a Jair Bol…
71,benedejour,"minha mãe indo votar no bolsonaro e até a minha irmã mais velha vai de lula. juro minha mãe não é burra, é trouxa m… https://t.co/y6tF9od6pv"
72,__brendaf__,RT @jkjiminssi: é mt bizzaro o que o demônio do bolsonaro fez com a imagem da bandeira do Brasil. eu simplesmente não consigo olhar pra uma…
73,eumanndex,"@gatakkj Ele não é a esperança. Mas é a melhor opção que temos, capaz, de bater de frente com o Bolsonaro nessa ele… https://t.co/EFOGihuJjP"
74,_masaya0,RT @Datoworld: 🇧🇷 #Eleições2022      - Voto exterior 🟢 Bolsonaro - 5.950 votos 🔴 Lula - 2.924 votos (🇯🇵🇮🇱🇨🇳🇰🇷🇪🇪🇳🇿🇦🇺🇸🇬🇹🇭)
75,manilaluizan,"a galera estuda SAÚDE MENTAL e me vota em bolsonaro????? mona com todo respeito, vc é maluca??????"
76,shesnerd,RT @mttlvgab: O Bolsonaro hoje descobrindo que perdeu a eleição pq ele mesmo matou metade dos eleitores dele com cloroquina https://t.co/jm…
77,alvesxxs,RT @veras_alvaro: eu julgo MUITO quem vota no bolsonaro em 2022 depois de tudo que a gente viveu nesses últimos 4 anos.
78,dentistabeyfa,"RT @eixopolitico: 🇧🇷 | 🇫🇮 BOLETIM DE URNA: HELSINQUE, FINLÂNDIALula: 390Bolsonaro: 127Ciro: 51Tebet: 38📸 @jodmoreira https://t.co/Ia…"
79,CJAPino,RT @adnradiochile: Elecciones en Brasil: candidato presidencial Lula Da Silva celebra poder sufragar con el “reconocimiento” de su “total l…
80,ViejAmarga,"RT @gaceta_es: #EleccionesEnBrasil | ""Bolsonaro estuvo durante dos años dependiendo de quirófanos y de atenciones médicas tras el magnicidi…"
81,MarlySo69478505,"RT @eixopolitico: 🇧🇷 | 🇫🇮 BOLETIM DE URNA: HELSINQUE, FINLÂNDIALula: 390Bolsonaro: 127Ciro: 51Tebet: 38📸 @jodmoreira https://t.co/Ia…"
82,gabriel_duart_e,Serio bolsonaro so perde essa porra no roubo impossível o tanto de camisa do br na rua serio
83,byh_elly,"RT @jhopehbd: O namjoon não se sente orgulhoso de army que vota no Bolsonaro,só pra deixar avisado."
84,nandastew,"RT @garotxdoblogofc: AGORA : 🇧🇷 | 🇪🇪 LULA VENCE BOLSONARO EM TALLINN, ESTÔNIALula (PT) tem 79,6% dos votos válidos; Bolsonaro (PL) tem 8,…"
85,amnaldomora,BOLSONARO SE ELEGE HOJE?
86,juliapichula22,RT @mttlvgab: O Bolsonaro hoje descobrindo que perdeu a eleição pq ele mesmo matou metade dos eleitores dele com cloroquina https://t.co/jm…
87,MRossiron,RT @damarinaandrade: Resultado folgado para Lula nas urnas em outros países sinaliza que o brasileiro no exterior não aguenta mais explicar…
88,cerpadraft,eu queria que os pobres de direita pensassem com a própria realidade mesmo era pra todos pensarem com a sua vivênci… https://t.co/6DFbYPpJnw
89,crffmengao,"no meu trabalho praticamente todos os chefes são Bolsonaro kkkkkkkkkkkkkkkkkkk, quero ver o Lula ganhar hj"
90,OConchaa,RT @oposicion_col: Hoy Jair Bolsonaro Ganará la Presidencia de Brasil🇧🇷 y desde ese momento empezará la caída de la izquierda en América la…
91,PeretePatricia,"Rapaz se o Bolsonaro perde hoje amanhã tá decretado feriado amanhã, eu vou falar Zerar a vida DEMAAAAAAAAISSSSS"
92,louielwt,RT @luisteixeiraabr: |￣￣￣￣￣￣￣￣￣￣￣|         ESTUDANTE DE               FEDERAL            NÃO VOTA                   EM           BOLSO…
93,AlmydaRegina,RT @TerraBrasilnot: Urgente: Bolsonaro vence em Israel; VEJA NÚMEROS https://t.co/txaRBU52vC
94,alebru04,"RT @BryanAlbarino: Bajo la administración de Jair Bolsonaro, Brasil experimentó el crecimiento económico más grande de su historia, récord…"
95,lisairplane,"RT @isgabiii: Bolsonaro 70,14% só se for de rejeição, acordaaaaa gadoooo https://t.co/Tpt0VEa9Ij"
96,fatuibobo,RT @shotoglow: meus parabéns pela tentativa 👏👏 mas eu não vou mudar meu voto pro bolsonaro
97,Noticiadaguerra,Resultado em países onde as eleições já encerram:Nova Zelândia:Lula 329 e Bolso 71 Austrália:Lula 575 e Bolso 3… https://t.co/MxzcAm5OQQ
98,tsdiego23,@AlertaNews24 Bolsonaro vai ser no 1 turno 🇧🇷 https://t.co/8PgFUt66jQ
99,murphybra,RT @josiasteofilo: Maricy Vogel cravou: Bolsonaro será reeleito HOJE. https://t.co/uaNy3bj0mx
100,MrciaRo61303873,RT @opilhado: O BOLSONARO HUMILHOU A GLOBO DENTRO DA GLOBO!   😱😂 #BolsonaroReeleitoEm2022 #Bolsonaro2022 #DebateNaGlobo https://t.co/4gGfFlfu…
101,Uilianpassarin,"RT @PedroRonchi2: Cristão bolsonarista é aquele que deixou de seguir o Papa para seguir o padre Kelmon, deixou de seguir Jesus para seguir…"
102,Eaguiarr,RT @BrazilFight: URGENTE-BOLSONARO E TARCÍSIO FARÃO MOTOCIATA AMANHÃ EM SÃO PAULOSão Paulo terá uma manifestação gigantesca amanhã para co…
103,LuizctbaII,"@TentoniCleide Só não concordo com o voto no Lula,  o resto é retrato fiel da realidadeO Bolsonaro além de nos tr… https://t.co/DK0plV8gYS"
104,alexsan32534243,"RT @CleberF23: @Ticostacruz Se o cara não é padre e se passar por padre, pq desmerecer ? Se você passa por cantor e não canta 💩💩💩 nenhuma!  …"
105,adilsonesp,RT @FinchelsteinF: Neymar endorses a fascist future for his country. His support for Bolsonaro is just sad...
106,Sobrevi13163285,RT @kimpaim: - Bolsonaro saiu do debate de madrugada e já está circulando no meio do povo em Minas Gerais.- Lula tá se escondendo do povo…
107,RobsonHilrio2,"RT @AndreHenning: Muita gente perguntando. Vou tentar resumir. Por questões do meu contrato, não posso me envolver em campanhas. Mas sou um…"
108,KatsukiMarcio,RT @AthenasMGF66: Vc quer um governo de transparência? Sem filtro?Vote Bolsonaro 22!  !   🇧🇷🫡 https://t.co/M2yGa6syNC
109,onurb751,@neymarjr GRANDE NEYMAR SUA HISTÓRIA FALA POR SI SÓ!   PARABÉNS POR APOIAR NOSSO PRESIDENTE BOLSONARO...
110,Roberto38845366,RT @ciro_nogueira: Criação de empregos. Essa foi a prioridade do presidente Bolsonaro para a recuperação do país. O resultado: o IBGE regis…
111,AdsonJoelson,"RT @LucianoGiusepp4: Não adianta mais nada. Se Bolsonaro fizer uma live dentro de um banheiro químico, nada mudará. Imbecis completos. http…"
112,Lilianecribeir1,"RT @CamargoDireita: No debate da Rede Globo, Soraya Thronicke citou uma série de narrativas sem contato com a realidade. Não há racistas e…"
113,Marcosmvfc1961,RT @opilhado: O BOLSONARO HUMILHOU A GLOBO DENTRO DA GLOBO!   😱😂 #BolsonaroReeleitoEm2022 #Bolsonaro2022 #DebateNaGlobo https://t.co/4gGfFlfu…
114,caiojsvitor,"O cômico é que o bolsonaro vai ser a causa do pt voltar ao poder, que merda em"
115,demitoxicc,RT @cartasdogabs: Bolsonaro NÃO criou a lei Paulo GustavoBolsonaro NÃO criou Aldir BlancBolsonaro NÃO criou auxílio emergencialBolsonaro…
116,rufus_crf,"RT @conexaopolitica: EXCLUSIVO. A dois dias do 1º Turno das eleições gerais de 2022, a influencer Luiza Frujuelli declarou apoio ao preside…"
117,RickMedeir0s,"RT @kimpaim: Sem piada, vcs já imaginaram quanto custou pra Globo produzir o debate de ontem, colocar vários temas de esquerda, Natura paga…"
118,luiz_augusto19,"RT @folha: Celebridades: Neymar, apoiador de Bolsonaro, já recorreu a presidente por dívida de R$ 188 mi https://t.co/34Rpg4IOpM"
119,MariaFr60489487,@MauMeirelles O de bolsonaro ainda não têm os dados ....Só daqui a 100 anos!   Bora esperar então e prolongar mais 4 anos!  
120,GracaKraemer,RT @VictorC09699962: @MaosNova @BolsonaroSP @PeKeImon @programapanico #BolsonaroReeleitoEm2022 #BrasilVota22Bolsonaro 2️⃣2️⃣🇧🇷🌻 https://t…
121,BressaneNunes,"RT @laderechadiario: 🇨🇱🇧🇷 | El líder del Partido Republicano de Chile, José Antonio Kast, expresa su apoyo a la reelección de Jair Bolsonar…"
122,JoaoBarros11,"RT @luisnassif: Rebordosa em Poços de Caldas!   O prefeito municipal contratou motoqueiros para a motociata de Bolsonaro. Na hora der pagar,…"
123,Ghost_Depresso,@agatha_tweets https://t.co/hfX6gid4st me mostre o resultado depois sua bolsonaro stan
124,ElvisSouzaAlve1,RT @BrazilFight: TODAS AS MOTOCARREATAS DE BOLSONARO PREVISTAS PARA AMANHÃ https://t.co/oWfzYWmvpd
125,gettrickbow,"RT @ZAMENZA: ""Bolsonaro pediu direito de resposta mas sequer foi citado então não terá."" BONNER REI. #DebatenaGlobo https://t.co/K26LOB0y…"
126,riosvida6,RT @capitaoderrite: Sorocaba é Bolsonaro!  !  !   https://t.co/tJI4Pf45kR
127,AnnimoDaSilva19,"RT @alertatotal: Deputado Javier Milei,candidato a presidente da Argentina, também conhecido como Bolsonaro argentino, fecha com  @jairbols…"
128,DonaPatriota,RT @PATRlOTAS: Bolsonaro hoje em Poços de Caldas/MG. Vai ser no 1° turno!   https://t.co/7C4JMxVFiu
129,Jaderso24120426,@LulaOficial @FabioPorchat BOLSONARO 22 NO DOMINGO.
130,Kadancordeiro86,RT @acostapdt12: A falsa narrativa de que Ciro Gomes e o PDT são linhas auxiliares do bozo.Ações do Ciro e o PDT contra Bolsonaro - Parte…
131,JoaoCarlis6,@febarretoss @BolsonaroSP Já começa a chorar porque dia 2 e Bolsonaro reeleito.
132,Gustavo2Recife,@thiagocipriano Bolsonaro mostrou os pedidos de cargo dela e ela nem pediu direito de resposta.
133,PabloPavlobo,"RT @Lanatoforever: Excelente!  !  !   Neymar, figura del seleccionado de Brasil, volvió a respaldar al Bolsonaro, de cara a las elecciones del Do…"
134,maju_gms,RT @brunogagliasso: É inacreditável esse sujeito citar as leis Paulo Gustavo e Aldir Blanc como conquistas do governo dele!   Bolsonaro VETOU…
135,DaSiufarne,"@CNNBrasil Mais uma ministra que milita querendo se aparecer usando do cargo que ocupa, cargo este bancado com noss… https://t.co/Oc5nSvb09g"
136,amarjorie01,"RT @Zambelli2210: 🚨 ATENÇÃO AO NOVO HORÁRIO, SÃO PAULO!  !  !   👉 10hComo nosso Presidente @JairBolsonaro 2⃣️2⃣️ confirmou presença na motocarr…"
137,Gl98mnj,RT @laderechadiario: 🇧🇷 | El futbolista brasileño Felipe Melo se une a Neymar y llama a votar por Bolsonaro este domingo: “Representa a Dio…
138,MarcioTonisso,RT @Jouberth19: Você irá votar no Presidente Bolsonaro? #BolsonaroNoPrimeiroTurnoSIM           SIM           SIM👇            👇…
139,MariaSo92340189,"RT @emergrigollette: Na real, exceto Bolsonaro, todos os candidatos pararam no tempo com esses discursinhos políticos dos anos 90: ""O povo…"
