,Unnamed: 0,Usuario,Tweet
62,62,walkiride,RT @DanteForesi: La primera pregunta que debe responder Larreta: ¿Por qué secuestró a Cristina cuando su pueblo iba a apoyarla?
63,63,AliuskaCarrale1,RT @GustavoLpezLpe5: TODOS CON Cristina Fernández de KirchnerEL PUEBLO MANDÁ https://t.co/iY3bAOBFBW
64,64,Clorobles2,RT @PeronMania10: @CFKArgentina Te amamos Cristina. Siempre a tu lado. Gracias
65,65,RamiroEAleman,RT @indignadoxd: Terrible! !  Grabois y La Cámpora sacando las vallas que puso la policía de la ciudad en la cuadra que vive Cristina. Hay qu…
66,66,simplementepas,@CFKArgentina Te amo  Cristina  de mi corazón.💚Gracias  por tanto amor ! ! ! 💚✌
67,67,SrtaLuisa2020,RT @jotaalonso: El 17 de Cristina.La derecha está absorta. CFK habló en un acto en Recoleta. En el barrio de quienes le desean la muerte.…
68,68,EneidaGil5,Dirigentes políticos y sociales de Argentina condenaron el despliegue de la Guardia de Infantería de la Policía y c… https://t.co/kJjUh70u6l
69,69,ROYALFREDO,RT @SergioChouza: Marea de pueblo en Recoleta.Esto es inédito. Impresionante.Larreta va a tener que ceder y liberar a Cristina. https:/…
70,70,tkachukr,RT @elguisodebagre: El espacio público es de todos no de Cristina vamos no es tan difícil. Y TODAVÍA NO LA CONDENARON si fuese inocente n…
71,71,deenfranich,Que onda los K que bancan a Cristina desde europa? Para que poronga se fueron de Argentina ? Por que no cierran un… https://t.co/sFiq4QmlAF
72,72,arielgallasteg2,@nikinikitaliana Ja ja son las muecas a cuando Cristina dijo que fueron los 12 mejores años de la historia Argentina
73,73,intervencionyc1,RT @jasgorriti: Patria sí colonia no ✌️Gracias Cristina 💚 amor lealtad movilización 💚 https://t.co/oqocQPHfWz
74,74,Sherman19771,@AlemaniaenArg @SergioMassa @G7 @CancilleriaARG @embajadorjpnarg @ItalyinARG @EmbCanArgentina @USAmbassadorARG… https://t.co/mEb83gMzQN
75,75,mumimumi09,RT @Albertovite0131: Durante los 4 años de Macri Lanata dió la dirección de Cristinay los gorilas la putearon todos los díasla imbécil d…
76,76,sebastianmaison,RT @diegowainstein: Todos van a la casa de Cristina porque es la única dirección que dan en los diarios.Pero si dan la de Larreta o Lucian…
77,77,CasuccioGustavo,RT @BonelliOK: #Encuesta 📢¿Por qué creés que la justicia⚖️🏛puede condenar a Cristina Kirchner por corrupción?🤔
78,78,StellaMarisFe17,RT @pauli_bahu: EL PAIS ES TUYO CRISTINA. EL PAIS ES TUYO MI REINA
79,79,Maty41154515,RT @DoctorPeronia: Todo el quilombo empezó porque el fiscal Luciani acuso a Cristina Kirchner como Jefa de una asociación ilícita y pido 12…
80,80,juanegordon,RT @PatoBullrich: ¡SE TERMINÓ! Cristina Fernández de Kirchner: basta de su prepotencia violenta.12 años de gobierno: 12 años de condena.…
81,81,TatianaLujann,RT @KrCarlit: Yo vi cuando un manifestante era ahogado por el camión hidrante por cantar que Cristina era inocente https://t.co/cSmyy5s4zI
82,82,hallynafreire,RT @ZAMENZA: Flávia Alessandra maravilhosa reencarnando a Cristina. ❤️#AlmaGêmea https://t.co/791fGoMwiC
83,83,ray_cristina_,RT @jardelito: Os japoneses dizem que toda vez que compartilhamos a imagem de um Buda dourado recebemos muito dinheiro e boas notícias. ✨…
84,84,CarmenE00385766,RT @damian_marcelo4: Gracias a la vida que nací peronista y contemporaneo de Nestor y Cristina...@CFKArgentina ✌🇦🇷❤
85,85,luisalbertoIbak,RT @abrahamendieta: @alferdez Cristina no está sola.
86,86,Marcela28279457,RT @LuciaPortos: Cristina es Perón.
87,87,anymv,RT @ChilbitaSoyYO: Cristina es violencia#BastaYa #KirchnerismoNuncaMas ! ! ! 
88,88,LaDoloresAgrup1,RT @MiDiosEsK: Cristina presidentaaaaaa! #CFK2023 ✌️✌️✌️ https://t.co/9uixeJhAWt
89,89,LilianaLascial2,RT @OfeFernandez_: A JUNCAL Y PARANÁ A BANCAR A CRISTINA 🤍🏃🏻‍♀️ se dedicaron a publicar su dirección y pedir que le escrachen la casa term…
90,90,Vangerez_,Amor con amor se paga Cristina corazón. Te amo para siempre ♥️ https://t.co/iCvQERPmQD
91,91,RAMaidanaok,Inútiles de CABA. Si terminan negociando xq no lo hicieron desde un principio. Larreta esto no se olvia a la hora… https://t.co/THS0wX4aCA
92,92,SusanaD43,@CFKArgentina Te amo Cristina ❤️
93,93,Layxiphion,RT @indignadoxd: No es navidad ni año nuevo. Son los simios que defienden a Cristina tirando fuegos artificiales. RT para que lo vea todo…
94,94,jmobrvan,RT @CarlosEguiaUno: 🔴 #URGENTE Militantes kirchneristas en la casa de Cristina tiraron las vallas e hirieron a la policía. Piedrazos y bomb…
95,95,LAntiboludes,RT @AgenciaElVigia: VIDEO | El momento en que se llevaban los dos volquetes con piedras que aparecieron sospechosamente cerca de la casa de…
96,96,dilorenzo_fede,@CFKArgentina Vamos Cristina! ! ! 
97,97,AnaAntu79305222,"RT @LaEntrerriana10: Lo conocen?? Sergio ""pato"" Urribarri ex embajadador en Israel condenado por corrupción apoyando a Cristina entiend…"
98,98,EJarillal,@carlospagni1 Escuche testimonios de abogados médicos amas de casas todos agradeciendo por la dignidad y el amor… https://t.co/EsntGk0Fic
99,99,DiarioredesA,#Politica #Cristina https://t.co/gElYrsMlnX
100,100,Zulema18547173,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
101,101,LucianoLarroude,RT @indignadoxd: Resistiendo con aguante dicen Echarri Brancatelli y Dady Brieva. Nos bancamos la lluvia dicen los kumpas. Cayeron 2 gotas…
102,102,NoSeMateNiUnaM1,RT @IsabelNataliaM3: ¿Viste a la señora que amenazó con un arma blanca a manifestantes que apoyan a #Cristina? Hilo⬇️ https://t.co/eNxVW65…
