,Usuario,Tweet
83,anyquing,"RT @Vale_mza93: Oigan tengo una idea, juguemos a algo para pasar el tiempo. Yo hago el sonido de un animal y ustedes tratan de adivinar cuá…"
84,Dan_xeneize,RT @facujperezarg: Hace algunas horas el Presidente Alberto Fernández habló de nuestra capacidad para gozar de autoabastecimiento energétic…
85,0000Jinx,Ya volvio lanlooz genteee #SinLuz
86,VaiolensR,RT @BetaKong05: Imagen exclusiva del lagarto gigante que atacó Atucha I y que produjo el masivo corte de luz en todo el país.Fuente: Tela…
87,Gladysg1405,RT @enriquezabala68: #SinLuzExtrañan a Cristina Kirchner?Nunca se fue. Es su Gobierno. Ella está en cada desabastecimiento energético en…
88,MaLaCa_ok,"RT @BejaranoYalita: Hola, soy la pava tradicional. Tal vez me recuerden cuando hay corte de luz y como ""Prendé la hornalla y poné la pava"",…"
89,humankindx,"RT @ElBlogDeJC: ASTROLOGIA: Argentina #SinLuz #Apagon La última Luna Nueva calculada para Argentina, tiene a Pluton muy poderoso conjunto…"
90,ElTatu5,"Dejen de mentir, Atucha funciona.Se incendió o incendiaron un cable de alta tensión pero la central funciona, mal que les pese #SinLuz"
91,vamosdejaleo,RT @elisamas1: No le estaría funcionando lo de la energía. Medio país #SinLuz ✌️ https://t.co/oNGuXtfviI
92,CNNArgentina,La Sec. de Energía informó que el sistema interconectado de energía nacional registra “varias fallas” por un incend… https://t.co/U9izy2s6ln
93,camusaurio,RT @facujperezarg: Hace algunas horas el Presidente Alberto Fernández habló de nuestra capacidad para gozar de autoabastecimiento energétic…
94,Barbiarce22,"RT @javiejog: Pregunta:Como se sale del telo durante un corte de luz, si en el telo tienen portón eléctrico?#apagon #SinLuz #CorteDeLuz"
95,GalaxityC,"RT @Juanmatino: AHORA: Esto es en Argentina, el Obelisco. El corte de luz fue a causa del consumo excesivo de electricidad para abrir un…"
96,eslokhayahre,RT @Aleja_Alonso66: Alberto Fernández hoy dijo que Argentina es la energía que necesita el mundo#Apagon #SinLuz 🤦 https://t.co/M6Vu2Lope6
97,CleliasolaMena,RT @BetaKong05: Imagen exclusiva del lagarto gigante que atacó Atucha I y que produjo el masivo corte de luz en todo el país.Fuente: Tela…
98,bofe_y,RT @sracansada1: Que cosas suceden con el #apagón 😲 #SinLuz #CorteDeLuz #Atucha https://t.co/4sciXwN5YC
