,Usuario,Tweet
93,tHeLuckyGabby,"RT @laderechadiario: 🇦🇷 | C5N cargó la nota sobre el intento de asesinato de Cristina Kirchner hace 5 horas, más de 3 horas antes que de ve…"
94,lucerobelen,"RT @Loco22Sergio: Nuevo refran argento:""Mas trucho que atentado a Cristina""#CFKseVictimiza"
95,miriampuny,RT @SergioOPalazzo: Los cultores del odio desde los medios hegemónicos y el fiscal Luciani tienen que hacerse cargo del atentado a @CFKArge…
96,Glecardonnel,"RT @ArnaudBedat: La séquence est juste incroyable: tentative d’assassinat contre l’ex-présidente argentine Cristina Kirchner, hier soir à B…"
97,JorgeVidalSEG,@Geno_AyS #Atentado #CristinaLos hechos de violencia contra figuras públicas están perfectamente estudiados y eval… https://t.co/x1M6cloLko
98,ofernandoreis,RT @jchaloub2: 1-Alarmante a análise do @OGlobo_Mundo  sobre o atentado contra Cristina Kirchner. No lugar de um claro repúdio contra a ten…
99,fabi_2701,RT @atlanticsurff: Sacaron las vallas. Cristina se ríe frente a un tipo con un arma y justo en ese momento lo estaban filmando. La segurida…
100,nicoo_iglesias,"@infobae Es simple si la queria matar lo hacia porque tuvo tiempo, oportunidad y todo sumandole que a cristina ni l… https://t.co/inBPr44Fe6"
101,KaamiGoonzalez,"Si a #Cristina hoy la quisieron matar es porque existe una cultura del odio donde políticos dicen ""son ellos o noso… https://t.co/X2k39Wx4zY"
102,peronchasavio,RT @SantiagoCafiero: Quisieron matar a @CFKArgentina. Es el hecho de violencia política más grave desde la vuelta de la democracia. Fuerz…
103,FlagrK,RT @SergioChouza: EL MACRISMO Y EL PERIODISMO DE GUERRA SON RESPONSABLES POR GENERAR ODIO Y VIOLENCIA CONTRA CRISTINA.
104,HagovQuemero,"ganó el globo, pero casi le meten un tiro a Cristina y encima Twitter está lleno de gorilas. https://t.co/3cXtsyOMaa"
105,l1lyghost,Casi matan a Cristina de un tiro comenzamos tranqui septiembre
106,bykouny,RT @pia_dmn: Deben estar felices quienes militaron fervientemente para que algún demente quiera ir a matar a Cristina. Los moviliza el odio…
107,orlandosilva,"Urgente e gravíssimo! Toda solidariedade à Cristina Kirchner, vítima de um atentado com a tentativa de assassinato… https://t.co/dFI9fpa2NF"
108,CarlosB19536349,RT @ActualidadRT: #ULTIMAHORA  La custodia de Cristina Fernández de Kirchner detiene a un hombre que le apuntó con un arma https://t.co/9kI…
